epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,3160.86,0.11577,0.06374,0.09623,0.78707,0,0.9815,0.9538,0.97384,0.95187,0.97988,0.95191,0.97141,0.75905,0.1325,0.15672,0.09611,0.75716,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3219.52,0.11499,0.06491,0.09504,0.78693,0,0.98138,0.95308,0.97326,0.95224,0.98069,0.95079,0.96981,0.75955,0.13289,0.15411,0.09824,0.75764,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3279.08,0.11354,0.06113,0.09342,0.78786,0,0.97535,0.95833,0.9733,0.95262,0.9737,0.95658,0.96999,0.75836,0.13486,0.16657,0.09613,0.7569,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3338.04,0.11254,0.06022,0.09289,0.78658,0,0.97801,0.95918,0.97364,0.95251,0.98635,0.94699,0.96864,0.75925,0.13317,0.16114,0.09274,0.75709,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3396.62,0.11304,0.06064,0.09332,0.7863,0,0.98678,0.9492,0.97313,0.95342,0.98578,0.94701,0.96773,0.75878,0.13187,0.15821,0.09203,0.75616,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3455.21,0.11166,0.06055,0.0911,0.78684,0,0.99194,0.94797,0.97521,0.95358,0.99536,0.94382,0.96952,0.75937,0.13357,0.16091,0.09185,0.75684,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3514.09,0.11108,0.06088,0.09142,0.78682,0,0.9888,0.95724,0.97674,0.9537,0.98644,0.95452,0.97368,0.75911,0.13667,0.16637,0.09189,0.75661,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3573.48,0.11126,0.06064,0.09084,0.78666,0,0.98842,0.96463,0.97653,0.9546,0.98632,0.9614,0.97454,0.76182,0.13325,0.16116,0.09003,0.75641,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3632.39,0.11094,0.06123,0.09118,0.78595,0,0.99135,0.95398,0.97483,0.9543,0.99387,0.94826,0.97199,0.75998,0.1318,0.16416,0.09139,0.75609,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3691.76,0.11015,0.06176,0.08986,0.78565,0,0.99309,0.95136,0.97393,0.95452,0.99259,0.94969,0.96744,0.75892,0.13167,0.16056,0.09231,0.7563,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
